Numb,List,Task,Location,Date,Time,Exp,Age,Sex,Language,BPVS,Notes,TR,ETCODE,Consent,AGEYEAR,retest
185,2,"3,4",Broxburn Wee gems,02/06/2016,NA,CG,48,F,English,37,"Trial 3, 10, Block 2: distracted",74.43,P185Task2,NA,Four-Five,N
186,3,"3,4",Broxburn Wee gems,02/06/2016,NA,CG,48,F,English,31,"Trial 8, Block 2: distracted",88.08,P186Task2,NA,Four-Five,N
187,1,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,46,M,English,53,NA,92.29,P187Task1,NA,Three,N
188,2,"1,2",Lab,03/06/2016,14:20,CG,49,M,English,42,"2nd cal: missed 2 val point; Trial 13, Block 2: distracted",85.44,P188Task1,NA,Four-Five,N
189,3,"1,2",Lab,03/06/2016,15:45,CG,48,F,English,45,2nd cal poor,90.12,P189Task1,NA,Four-Five,N
192,3,"3,4",Echline Primary,07/06/2016,NA,CG,49,M,English,56,NA,88.45,P192Task2,NA,Four-Five,Y
193,1,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,40,F,English,36,"Trial 6, Block 1: distracted",81.79,P193Task1,NA,Three,N
198,3,"3,4",Echline Primary,07/06/2016,NA,CG,60,F,English,71,NA,88.71,P198Task2,NA,Four-Five,Y
199,1,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,41,M,English,49,"Trial 9, Block 1 and trial 4, Block 2: distracted; Trial 1, Block 2: speaks on top",76.65,P199Task1,NA,Three,N
200,1,"1,2",Arcadia,27/05/2016,NA,CG,31,M,English,22,"1st cal poor; Trial 1, 11 in Block 1 and Trial 1, 15 in Block 2: distracted",47.86,P200Task1,NA,Two,Y
201,2,"1,2",Arcadia,27/05/2016,NA,CG,31,F,English,20,"Trial 4, 6, 7, 11 in Block 1 and trial 7 in Block 2: distracted or speaks on top",60.37,P201Task1,NA,Two,Y
202,3,"1,2",Arcadia,27/05/2016,NA,CG,25,F,English,28,1st and 2nd cal poor,76.85,P202Task1,NA,Two,Y
203,1,"3,4",Honest Toun,01/06/2016,NA,CG,35,F,English,20,"1st cal poor; trial 11, Block 1: hands on eyes",70.53,P203Task2,NA,Two,N
204,2,"3,4",Honest Toun,01/06/2016,NA,CG,26,M,English,21,"Trial 11, Block 1 and Trial 1, Block 2: distracted; Trial 12, Block 2: points before sentence ends",78.08,P204Task2,NA,Two,N
205,3,"3,4",Honest Toun,01/06/2016,NA,CG,33,M,"English, French",29,1st cal: missed one val point,47.12,P205Task2,NA,Two,N
206,1,"1,2",Honest Toun,01/06/2016,NA,CG,30,M,English,24,"2nd cal: missed one val point; trial 15, Block 2: distracted",89.9,P206Task1,NA,Two,N
207,2,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,34,M,English,33,"1st and 2nd cal poor; Trial 7, 12, 14, Block 2: distracted",81.14,P207Task1,NA,Two,N
208,3,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,34,M,"Polish, English",23,NA,91.97,P208Task1,NA,Two,N
209,1,"3,4",Broxburn Wee gems,02/06/2016,NA,CG,31,M,English,24,"2nd cal poor; Trial 7, Block 1: points before sentence end; Trial 1, Block 2: points before sentence ends",76.33,P209Task2,NA,Two,N
210,2,"3,4",Broxburn Wee gems,02/06/2016,NA,CG,28,M,English,17,1st cal: missed one val point; 2nd cal poor,90.93,P210Task2,NA,Two,N
211,3,"3,4",Broxburn Wee gems,02/06/2016,NA,CG,25,M,English,12,"2nd cal poor; Trial 3, 4, 6, 15, Block 1: speaks on top; Trial 2, Block 2: distracted; Trial 4, 7, 8, Block 2: distracted",67.63,P211Task2,NA,Two,N
212,1,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,26,M,English,8,1st cal very poor; not sure he understands the task; almost never points,75.85,P212Task1,NA,Two,N
213,2,"1,2",Pinocchio Lasswade,06/06/2016,NA,CG,33,M,English,21,"2nd cal poor; Trial 3, Block 1: points before sentence ends; trial 5, 7, Block 1: distracted; trial 14, Block 1: speaks on top; Trial 3, 6, Block 2: distracted",80.7,P213Task1,NA,Two,N
214,3,"1,2",Pinocchio Lasswade,06/06/2016,NA,CG,24,M,English,17,"2nd cal poor; Trial 4, 8, 12, Block 1: distracted",82.08,P214Task1,NA,Two,N
215,1,"3,4",Pinocchio Lasswade,06/06/2016,NA,CG,26,M,English,19,"1st cal poor; Trial 3, Block 1: points before sentence end; Trial 5, 9, 12, 13, Block 1: speaks on top",77.45,P215Task2,NA,Two,N
216,2,"3,4",Pinocchio Lasswade,06/06/2016,NA,CG,32,M,English,21,2nd cal poor,66.3,P216Task2,NA,Two,N
217,3,"3,4",Pinocchio Lasswade,06/06/2016,NA,CG,24,F,English,2,"1st cal: missed one val point; 2nd cal: poor; never points; Trial 10, Block 1: distracted",82.43,P217Task2,NA,Two,N
300,1,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,44,M,English,47,2nd cal: missed one val point,94.69,P300Task1,NA,Three,N
301,2,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,37,M,English,23,"1st and 2nd cal: missed one val point; Trial 4, 10, Block 1; Trial 8, Block 2: distracted",82.84,P301Task1,NA,Three,N
302,3,"1,2",Broxburn Wee gems,02/06/2016,NA,CG,47,M,English,46,2nd cal poor,91.24,P302Task1,NA,Three,N
304,1,"3,4",Broxburn Wee gems,02/06/2016,NA,CG,37,M,English,40,"Trial 5, 11, Block 2: distracted",80.2,P304Task2,NA,Three,N
305,2,"3,4",Broxburn Wee gems,02/06/2016,NA,CG,36,M,English,34,"Trial 5, 7, Block 1 and Trial 4, Block 2: distracted",88.36,P305Task2,NA,Three,N
306,3,"3,4",Echline Primary,07/06/2016,NA,CG,44,M,English,50,"Trial 13, Block 2: distracted",89.8,P306Task2,NA,Three,N
400,1,"1,2",Echline Primary,07/06/2016,NA,CG,54,M,English,43,NA,86.69,P400Task1,NA,Four-Five,N
401,2,"1,2",Echline Primary,07/06/2016,NA,CG,58,M,English,46,"Trial 5, Block 2: speaks on top",80.67,P401Task1,NA,Four-Five,Y
402,3,"1,2",Echline Primary,07/06/2016,NA,CG,60,F,English,66,1st cal: missed one val point,95.93,P402Task1,NA,Four-Five,Y
403,1,"3,4",Echline Primary,07/06/2016,NA,CG,56,M,English,66,Moves a lot,87.73,P403Task2,NA,Four-Five,N
404,2,"3,4",Echline Primary,07/06/2016,NA,CG,51,M,English,57,NA,89.21,P404Task2,NA,Four-Five,Y
405,3,"3,4",Echline Primary,07/06/2016,NA,CG,49,F,English,54,NA,87.75,P405Task2,NA,Four-Five,N
